t,y_des, alpha_des, beta_des, y_est, alpha_est, beta_est, y_act, alpha_act, beta_act
0.000000, 0.300000, 0.000000, 0.000000, 0.433013, 0.000000, 0.000000, 0.700000, -0.061659, -0.000000
0.001500, 0.300000, 0.000000, 0.000000, 0.432402, 0.000000, 0.000012, 0.700001, -0.000000, 0.000134
0.003000, 0.300000, 0.000000, 0.000000, 0.433130, 0.000000, 0.000004, 0.699968, -0.000000, 0.000060
0.004500, 0.300000, 0.000000, 0.000000, 0.433425, 0.000000, 0.000006, 0.699921, 0.000000, 0.000078
0.006000, 0.300000, 0.000000, 0.000000, 0.431848, 0.000000, 0.000038, 0.699881, -0.000000, 0.000440
0.007500, 0.300000, 0.000000, 0.000000, 0.428743, 0.000000, 0.000095, 0.699854, -0.000000, 0.001112
0.009000, 0.300000, 0.000000, 0.000000, 0.424342, -0.000000, 0.000178, 0.699844, 0.000000, 0.002055
0.010500, 0.300000, 0.000000, 0.000000, 0.418806, 0.000000, 0.000290, 0.699856, -0.000000, 0.003231
0.012000, 0.300000, 0.000000, 0.000000, 0.412257, 0.000000, 0.000431, 0.699894, -0.000000, 0.004610
0.013500, 0.300000, 0.000000, 0.000000, 0.404842, 0.000000, 0.000757, 0.699954, 0.000000, 0.006171
0.015000, 0.300000, 0.000000, 0.000000, 0.397899, 0.000000, 0.002324, 0.700041, 0.000000, 0.007893
0.016500, 0.300000, 0.000000, 0.000000, 0.392316, 0.000000, 0.003922, 0.700151, 0.000000, 0.009740
0.018000, 0.300000, 0.000000, 0.000000, 0.388162, 0.000000, 0.004983, 0.700268, 0.000000, 0.011617
0.019500, 0.300000, 0.000000, 0.000000, 0.384801, 0.000000, 0.005625, 0.700361, 0.000000, 0.013424
0.021000, 0.300000, 0.000000, 0.000000, 0.382104, 0.000000, 0.006285, 0.700416, -0.000000, 0.015123
0.022500, 0.300000, 0.000000, 0.000000, 0.380003, -0.000000, 0.006496, 0.700419, 0.000000, 0.016691
0.024000, 0.300000, 0.000000, 0.000000, 0.378283, 0.000000, 0.006616, 0.700361, 0.000000, 0.018130
0.025500, 0.300000, 0.000000, 0.000000, 0.376908, -0.000000, 0.006558, 0.700236, -0.000000, 0.019419
0.027000, 0.300000, 0.000000, 0.000000, 0.375836, -0.000000, 0.006473, 0.700041, -0.000000, 0.020553
0.028500, 0.300000, 0.000000, 0.000000, 0.374889, -0.000000, 0.006272, 0.699779, -0.000000, 0.021540
0.030000, 0.300000, 0.000000, 0.000000, 0.374020, -0.000000, 0.006057, 0.699458, -0.000000, 0.022395
0.031500, 0.300000, 0.000000, 0.000000, 0.373302, -0.000000, 0.005837, 0.699083, -0.000000, 0.023109
0.033000, 0.300000, 0.000000, 0.000000, 0.372628, -0.000000, 0.005677, 0.698666, -0.000000, 0.023696
0.034500, 0.300000, 0.000000, 0.000000, 0.371921, -0.000000, 0.005545, 0.698214, -0.000000, 0.024181
0.036000, 0.300000, 0.000000, 0.000000, 0.371268, 0.000000, 0.005484, 0.697732, -0.000000, 0.024555
0.037500, 0.300000, 0.000000, 0.000000, 0.370672, 0.000000, 0.005396, 0.697226, 0.000000, 0.024828
0.039000, 0.300000, 0.000000, 0.000000, 0.370045, 0.000000, 0.005265, 0.696696, 0.000000, 0.025022
0.040500, 0.300000, 0.000000, 0.000000, 0.369380, 0.000000, 0.005169, 0.696141, 0.000000, 0.025141
0.042000, 0.300000, 0.000000, 0.000000, 0.368803, -0.000000, 0.005040, 0.695557, 0.000000, 0.025189
0.043500, 0.300000, 0.000000, 0.000000, 0.368243, -0.000000, 0.004934, 0.694941, -0.000000, 0.025178
0.045000, 0.300000, 0.000000, 0.000000, 0.367618, 0.000000, 0.004772, 0.694289, 0.000000, 0.025127
0.046500, 0.300000, 0.000000, 0.000000, 0.367111, 0.000000, 0.004668, 0.693601, 0.000000, 0.025030
0.048000, 0.300000, 0.000000, 0.000000, 0.366622, 0.000000, 0.004553, 0.692876, 0.000000, 0.024896
0.049500, 0.300000, 0.000000, 0.000000, 0.366070, 0.000000, 0.004445, 0.692117, 0.000000, 0.024742
0.051000, 0.300000, 0.000000, 0.000000, 0.365618, 0.000000, 0.004353, 0.691325, 0.000000, 0.024553
0.052500, 0.300000, 0.000000, 0.000000, 0.365171, 0.000000, 0.004259, 0.690507, 0.000000, 0.024344
0.054000, 0.300000, 0.000000, 0.000000, 0.364658, 0.000000, 0.004183, 0.689667, 0.000000, 0.024129
0.055500, 0.300000, 0.000000, 0.000000, 0.364230, 0.000000, 0.004105, 0.688807, 0.000000, 0.023890
0.057000, 0.300000, 0.000000, 0.000000, 0.363773, 0.000000, 0.004029, 0.687931, 0.000000, 0.023637
0.058500, 0.300000, 0.000000, 0.000000, 0.363206, 0.000000, 0.003958, 0.687038, 0.000000, 0.023381
0.060000, 0.300000, 0.000000, 0.000000, 0.362682, 0.000000, 0.003886, 0.686128, 0.000000, 0.023104
0.061500, 0.300000, 0.000000, 0.000000, 0.362107, 0.000000, 0.003812, 0.685196, 0.000000, 0.022820
0.063000, 0.300000, 0.000000, 0.000000, 0.361431, 0.000000, 0.003744, 0.684242, 0.000000, 0.022542
0.064500, 0.300000, 0.000000, 0.000000, 0.360834, 0.000000, 0.003674, 0.683261, 0.000000, 0.022255
0.066000, 0.300000, 0.000000, 0.000000, 0.360224, 0.000000, 0.003605, 0.682252, 0.000000, 0.021970
0.067500, 0.300000, 0.000000, 0.000000, 0.359536, 0.000000, 0.003542, 0.681214, 0.000000, 0.021698
0.069000, 0.300000, 0.000000, 0.000000, 0.358936, 0.000000, 0.003478, 0.680147, 0.000000, 0.021418
0.070500, 0.300000, 0.000000, 0.000000, 0.358330, 0.000000, 0.003417, 0.679054, 0.000000, 0.021144
0.072000, 0.300000, 0.000000, 0.000000, 0.357649, 0.000000, 0.003364, 0.677938, 0.000000, 0.020883
0.073500, 0.300000, 0.000000, 0.000000, 0.357053, 0.000000, 0.003312, 0.676801, 0.000000, 0.020619
0.075000, 0.300000, 0.000000, 0.000000, 0.356461, 0.000000, 0.003263, 0.675647, 0.000000, 0.020360
